epoch,relu_color,layer1_color,layer2_color,layer3_color,layer4_color,avgpool_color,relu_digit,layer1_digit,layer2_digit,layer3_digit,layer4_digit,avgpool_digit
0,0.99816,0.98938,0.95972,0.82422,0.73262,0.7286,0.70098,0.7164,0.70704,0.82212,0.9377,0.93726
1,0.99974,0.98986,0.9687,0.82164,0.72344,0.7162,0.70284,0.71966,0.7533,0.91242,0.9845,0.98406
2,0.99976,0.98772,0.96328,0.82022,0.72856,0.7188,0.70332,0.72104,0.78122,0.929,0.99,0.99008
3,0.99964,0.98926,0.95768,0.82008,0.728,0.71224,0.70356,0.72222,0.80152,0.93698,0.99188,0.99198
4,0.9998,0.99332,0.96914,0.8424,0.73166,0.71646,0.70412,0.7209,0.81142,0.94144,0.9927,0.99282
5,0.99964,0.99164,0.96508,0.83426,0.73312,0.71818,0.70366,0.72664,0.80844,0.9468,0.99442,0.9945
6,0.99982,0.9915,0.94962,0.83352,0.73726,0.7171,0.70396,0.7277,0.81716,0.94824,0.99508,0.99496
7,0.99976,0.9878,0.95314,0.83482,0.72966,0.7092,0.70356,0.72936,0.8208,0.9492,0.99576,0.9957
8,0.99972,0.99188,0.96254,0.84016,0.7278,0.70832,0.70402,0.72584,0.82346,0.9484,0.99618,0.99598
9,0.9998,0.99318,0.94904,0.84118,0.74116,0.71392,0.70364,0.7263,0.8268,0.9519,0.9968,0.99662
