epoch,relu_color,layer1_color,layer2_color,layer3_color,layer4_color,avgpool_color,relu_digit,layer1_digit,layer2_digit,layer3_digit,layer4_digit,avgpool_digit
0,0.99656,0.99528,0.92884,0.78904,0.72666,0.72638,0.70032,0.69918,0.67836,0.83484,0.95558,0.9551
1,0.99966,0.99986,0.9831,0.82398,0.73876,0.73626,0.70342,0.70716,0.74448,0.90586,0.98958,0.9893
2,0.9995,0.99986,0.98824,0.84872,0.75636,0.75268,0.70336,0.7056,0.76544,0.9179,0.99264,0.99274
3,0.99974,0.99998,0.996,0.88138,0.78362,0.77434,0.70336,0.70532,0.78372,0.92424,0.9947,0.99464
4,0.99976,1.0,0.99728,0.9028,0.80176,0.78766,0.7035,0.70756,0.78782,0.92908,0.99618,0.99616
5,0.99976,0.99998,0.99452,0.90302,0.80654,0.78974,0.70376,0.71062,0.79586,0.93206,0.99628,0.9962
6,0.99946,0.99992,0.99736,0.93214,0.83464,0.81378,0.70374,0.70772,0.79848,0.93486,0.9979,0.99784
7,0.99966,0.99996,0.99758,0.91814,0.82148,0.80036,0.70408,0.71212,0.80868,0.93582,0.99792,0.99786
8,0.99976,0.99996,0.9973,0.90322,0.81122,0.78816,0.70378,0.71616,0.81976,0.94398,0.99848,0.9986
9,0.9997,1.0,0.99792,0.9186,0.81406,0.79058,0.70418,0.71392,0.81744,0.94166,0.99826,0.99826
