epoch,relu_color,layer1_color,layer2_color,layer3_color,layer4_color,avgpool_color,relu_digit,layer1_digit,layer2_digit,layer3_digit,layer4_digit,avgpool_digit
0,0.99464,0.99468,0.98432,0.89168,0.76718,0.76838,0.69902,0.70448,0.70998,0.84836,0.96264,0.9625
1,0.99972,1.0,0.99778,0.90436,0.79864,0.7983,0.70362,0.70766,0.73374,0.91582,0.99128,0.99112
2,0.99968,0.99998,0.999,0.91892,0.81782,0.81826,0.70364,0.70818,0.74784,0.92954,0.99486,0.99502
3,0.99978,1.0,0.9991,0.93634,0.83416,0.83372,0.70326,0.71046,0.75496,0.92894,0.99656,0.99662
4,0.9996,0.99994,0.99962,0.96356,0.87398,0.87364,0.7037,0.7082,0.76426,0.93242,0.99788,0.99782
5,0.99972,0.99998,0.9997,0.9633,0.86616,0.86588,0.70346,0.70908,0.77352,0.93644,0.99828,0.99814
6,0.9997,0.99992,0.9998,0.97338,0.87706,0.87714,0.70382,0.711,0.77704,0.9427,0.99838,0.99844
7,0.99968,0.99994,0.99972,0.9672,0.87458,0.87492,0.70376,0.71626,0.78804,0.94716,0.99932,0.99926
8,0.99964,0.99998,0.99968,0.95706,0.8597,0.85954,0.70346,0.71388,0.79182,0.95052,0.99932,0.99932
9,0.99964,0.99996,0.99992,0.972,0.88918,0.88938,0.70328,0.71326,0.79146,0.95492,0.99956,0.99962
