epoch,relu_color,layer1_color,layer2_color,layer3_color,layer4_color,avgpool_color,relu_digit,layer1_digit,layer2_digit,layer3_digit,layer4_digit,avgpool_digit
0,0.99214,0.99264,0.9469,0.83272,0.7432,0.74538,0.69794,0.7116,0.70808,0.83032,0.95556,0.95414
1,0.99992,0.99876,0.98106,0.82218,0.75676,0.75594,0.70256,0.71816,0.75862,0.91712,0.99054,0.99054
2,0.9999,0.99862,0.98996,0.83122,0.76528,0.76584,0.70282,0.7232,0.77656,0.93182,0.99456,0.99448
3,0.9999,0.9993,0.99292,0.8546,0.78656,0.78608,0.70286,0.72386,0.77914,0.93856,0.99626,0.9963
4,0.9999,0.99852,0.99228,0.85948,0.78146,0.78408,0.70294,0.7184,0.78224,0.94324,0.99716,0.99718
5,0.99998,0.99966,0.99786,0.90832,0.81048,0.8112,0.70296,0.72224,0.78924,0.9471,0.99808,0.99806
6,1.0,0.99956,0.99672,0.91604,0.82664,0.82694,0.7029,0.72078,0.7894,0.9448,0.9984,0.9985
7,0.99994,0.9992,0.99616,0.91142,0.82992,0.82978,0.70292,0.72074,0.78628,0.95,0.99816,0.99814
8,0.99996,0.99918,0.99906,0.91796,0.83354,0.83334,0.70306,0.72082,0.79672,0.95072,0.99746,0.99742
9,0.99992,0.9996,0.9993,0.94766,0.86946,0.86994,0.70306,0.72268,0.81668,0.95654,0.99974,0.9997
