epoch,relu_color,layer1_color,layer2_color,layer3_color,layer4_color,avgpool_color,relu_digit,layer1_digit,layer2_digit,layer3_digit,layer4_digit,avgpool_digit
0,0.99658,0.99082,0.97658,0.82318,0.73492,0.73454,0.7017,0.70168,0.70446,0.86816,0.96186,0.96108
1,0.99974,0.99856,0.98954,0.84068,0.75982,0.75832,0.70332,0.70712,0.75304,0.92654,0.9913,0.99138
2,0.99986,0.99954,0.9879,0.8897,0.79592,0.79638,0.70352,0.71304,0.77682,0.93882,0.99518,0.9951
3,0.9998,0.99952,0.98944,0.90856,0.82046,0.8203,0.70318,0.71176,0.78552,0.94054,0.997,0.99694
4,0.99988,0.9994,0.9955,0.9198,0.83216,0.83268,0.7038,0.71188,0.79452,0.94466,0.99778,0.9978
5,0.99984,0.99972,0.99304,0.92726,0.83724,0.83772,0.70358,0.71402,0.80694,0.94494,0.99852,0.99852
6,0.9999,0.9998,0.99688,0.94786,0.85602,0.85602,0.70374,0.71346,0.81592,0.94944,0.9992,0.99918
7,0.99986,0.99966,0.99692,0.9406,0.8514,0.85164,0.70372,0.71098,0.8213,0.95446,0.99944,0.99944
8,0.99994,0.99988,0.99618,0.9466,0.85342,0.85324,0.70398,0.71682,0.8222,0.9527,0.99884,0.99884
9,0.9998,0.99988,0.99604,0.9557,0.84652,0.84662,0.7036,0.71524,0.8418,0.95774,0.99936,0.9994
