epoch,relu_color,layer1_color,layer2_color,layer3_color,layer4_color,avgpool_color,relu_digit,layer1_digit,layer2_digit,layer3_digit,layer4_digit,avgpool_digit
0,0.993,0.99494,0.992,0.86198,0.74146,0.73888,0.70154,0.70318,0.70458,0.85708,0.96424,0.9629
1,0.99972,0.99978,0.99546,0.83916,0.74458,0.7423,0.70328,0.70806,0.73064,0.92646,0.99004,0.99002
2,0.99972,0.99976,0.99512,0.85394,0.75286,0.7528,0.7032,0.7072,0.7399,0.93044,0.99336,0.99336
3,0.99964,0.99954,0.99512,0.8419,0.7444,0.74364,0.70328,0.7089,0.74564,0.93174,0.99426,0.99426
4,0.99966,0.99892,0.99118,0.83446,0.73688,0.73702,0.70316,0.71182,0.75424,0.93198,0.9944,0.99448
5,0.9996,0.99832,0.98036,0.82678,0.7344,0.73442,0.70302,0.71214,0.75556,0.92902,0.99604,0.9961
6,0.99964,0.9974,0.9734,0.8206,0.72698,0.7262,0.7029,0.71672,0.74418,0.91782,0.99502,0.99496
7,0.99996,0.9953,0.97638,0.8074,0.71972,0.72008,0.70306,0.71706,0.74402,0.9221,0.99552,0.99548
8,0.99998,0.99794,0.97788,0.80066,0.71316,0.71292,0.70298,0.71356,0.74922,0.92046,0.995,0.995
9,0.99994,0.9943,0.96912,0.7963,0.70874,0.70886,0.70308,0.72114,0.74486,0.919,0.9955,0.99544
